Date,Open,High,Low,Close,Adj Close,Volume
2018-12-14,161.029999,164.000000,159.309998,162.029999,162.029999,2137200
2018-12-17,160.139999,161.080002,153.679993,153.759995,153.759995,3227200
2018-12-18,155.080002,157.410004,153.589996,155.710007,155.710007,3015300
2018-12-19,156.529999,160.759995,152.619995,155.690002,155.690002,2221800
2018-12-20,155.320007,157.399994,145.559998,152.059998,152.059998,4170500
2018-12-21,153.550003,154.309998,142.009995,144.929993,144.929993,4345500
2018-12-24,142.889999,147.940002,141.699997,142.410004,142.410004,839800
2018-12-26,143.839996,153.899994,143.490005,153.809998,153.809998,2204900
2018-12-27,151.539993,159.139999,150.789993,158.490005,158.490005,1940400
2018-12-28,159.270004,162.210007,154.149994,159.559998,159.559998,1766000
2018-12-31,160.789993,161.940002,158.270004,159.679993,159.679993,1379600
2019-01-02,155.960007,160.000000,155.350006,159.740005,159.740005,1796500
2019-01-03,156.600006,158.800003,152.320007,154.020004,154.020004,1828800
2019-01-04,157.759995,165.000000,155.580002,163.350006,163.350006,3077700
2019-01-07,164.110001,166.940002,162.770004,163.500000,163.500000,3294200
2019-01-08,165.119995,167.000000,161.139999,166.949997,166.949997,2146600
2019-01-09,168.000000,169.080002,165.429993,166.179993,166.179993,2471500
2019-01-10,165.009995,168.100006,164.020004,167.960007,167.960007,1768300
2019-01-11,167.169998,169.509995,166.259995,167.460007,167.460007,1422400
2019-01-14,165.389999,166.929993,163.139999,163.330002,163.330002,1816700
2019-01-15,164.389999,166.520004,163.699997,164.470001,164.470001,3023400
2019-01-16,163.860001,165.559998,162.130005,165.339996,165.339996,2420200
2019-01-17,163.889999,168.479996,163.600006,166.580002,166.580002,1619800
2019-01-18,168.500000,172.139999,166.960007,172.080002,172.080002,2173200
2019-01-22,170.240005,172.440002,169.059998,170.770004,170.770004,1614400
2019-01-23,171.139999,176.139999,170.520004,171.660004,171.660004,2004600
2019-01-24,172.000000,173.690002,170.199997,171.199997,171.199997,1216800
2019-01-25,173.110001,176.119995,171.639999,175.580002,175.580002,1385700
2019-01-28,174.479996,174.979996,170.669998,172.500000,172.500000,1037800
2019-01-29,172.889999,173.500000,164.479996,166.690002,166.690002,2641800
